Eton College	David Maxwell	David Maxwell was educated at Eton College, where he was a King's Scholar and Captain of Boats, and at Cambridge University where he rowed in the winning Cambridge boat in the 1971 and 1972 Boat Races.	 was educated at 	yes
Full Sail University	Jason JetPlane	Born in Keflavik, Iceland, and raised in Charlotte, North Carolina, Jason JetPlane studied Recording Arts at Full Sail University near Disneyland, Florida, and graduated high school from the Northwest School of the Arts in Charlotte, North Carolina.	 studied Recording Arts at 	yes
City of London School	Anderson	Anderson was educated at the City of London School, the Lambeth School of Art (where he was awarded a medal for artistic anatomy) and St Thomas's Hospital (where he also won numerous prizes). He became a Fellow of the Royal College of Surgeons in 1869. At St Thomas's Hospital, he was in 1871 appointed surgical registrar and assistant demonstrator of anatomy. In 1873, he moved to Tokyo, Japan, where he was professor of anatomy and surgery at the Imperial Naval Medical College, and gave lectures both in English and in Japanese, which he learned for that purpose. Here, he assembled his collections and began his study of Japanese art. He was eventually, in 1895, appointed as a knight commander of the Japanese order of the Rising Sun.	 was educated at the 	no
University of Queensland	Charles Adermann	Adermann was born in Kingaroy, Queensland, son of Charles Adermann, and was educated at Brisbane Boys' College. He did not complete a medical degree at the University of Queensland and instead became a dairy farmer in Kingaroy. He then completed a Bachelor of Commerce by external study at University of Queensland and worked as a public accountant. He married Joan Hovard in 1951 and they had three sons and two daughters. He was a councillor of Kingaroy Shire from 1958 to 1967.	, and was educated at Brisbane Boys' College. He did not complete a medical degree at the 	no
Kamiak High School	Tim Ward	Tim Ward was the former bassist and co-lead vocalist for the Mukilteo, Washington based prog-rock band The Fall of Troy. He attended Kamiak High School and graduated in 2003. He left the band during their tour with Coheed and Cambria. He was replaced by bassist and vocalist Frank Ene on November 28, 2007. Thomas Erak stated on the band's forums that his leave was full time and for the best interest of the band. He remains in touch with his former bandmates and has offered to create artwork for the bands' future albums and merchandise. However, he is not mentioned on The Fall of Troy's last record, In the Unlikely Event. Ward relocated to Riggins, Idaho and has been posting new demos on his MySpace page since early November 2008 under the moniker of Stranger Danger. Since then Ward has become a father, and made himself a new home in Idaho. He now makes music under the monikers ``Cool Timmy'' and ``Messed Up Coyote'', both of which are signed to the online record label run by Father LongLegs ``Woozy Tribe''	 was the former bassist and co-lead vocalist for the Mukilteo, Washington based prog-rock band The Fall of Troy. He attended 	yes
Film and Television Institute of India	Nancy Adajania	Nancy Adajania was educated at the Princess Alexandra School, Elphinstone College, where she read Politics for her BA, the Sophia Polytechnic, Bombay, where she took a diploma in Social Communications Media, and the Film and Television Institute of India (FTII), Pune, where she studied film.	 was educated at the Princess Alexandra School, Elphinstone College, where she read Politics for her BA, the Sophia Polytechnic, Bombay, where she took a diploma in Social Communications Media, and the 	yes
Colgate University	Dick Sisler	Dick Sisler attended Colgate University. He batted left-handed and threw right-handed, stood tall and weighed . He was a journeyman left fielder and first baseman for the St. Louis Cardinals (1946--47, 1952--53), Philadelphia Phillies (1948--51) and Cincinnati Reds (1952). In an eight-season career, Sisler was a .276 hitter with 55 home runs and 360 RBI in 799 games. He made the National League All-Star team in 1950.	 attended 	yes
Bedford Modern School	Dennis Sharp	Dennis Sharp studied at Bedford Modern School (1945-1951) and at Luton School of Art (1951-1954). From 1954 to 1957 he studied at the Architectural Association School of Architecture in London and was Leverhulme Research Fellow, School of Architecture, University of Liverpool from 1960-63.	 studied at 	yes
Princeton High School	Dee Davis	Deonna Dee Davis was born November 8, 1984 in Cincinnati, Ohio she attended Princeton High School in Cincinnati, Ohio First female from Cincinnati to be named a McDonald's All-American... Three-time letterwinner in volleyball and softball Named to the H.S. Honor Roll for three years... Chose Vanderbilt over Connecticut, Temple, Arkansas and Cincinnati. She also participated in the women's State Farm College Three Point Championships on March 29, 2007 at Georgia State University. On April 4, 2007, Dee was selected by the Houston Comets with the fourteenth pick in the 2007 WNBA Draft. She is now a physical education teacher at University School of Nashville.	 was born November 8, 1984 in Cincinnati, Ohio she attended 	yes
Hebrew University of Jerusalem	Avner Offer	Avner Offer was born and raised in Israel. He was educated at the Hebrew University of Jerusalem and Oxford University. He has worked at the Universities of York, UK, the Australian National University, and the University of Oxford, with research fellowships at the University of Southampton, University of Cambridge (both UK), Rutgers University and New York University (both in the USA). He is married with two children.	 was born and raised in Israel. He was educated at the 	yes
Conservatory of Recording Arts and Sciences	Robert Venable	Growing up in Springdale, AR, Robert Venable performed in several bands and eventually made the decision that he wanted to pursue a career in music. He attended the Conservatory of Recording Arts and Sciences in Tempe, AZ, where he graduated top of his class. While in school, Robert interned at several studios in the Phoenix metropolitan area, such as The Saltmine Studios and Phase Four, quickly making the transition from assisting to engineering. In 2005, he was hired as head engineer at Paradise West Recording Studios in Scottsdale, AZ. In 2009, Robert relocated to Nashville, TN and worked in various studios as he built his own.	 performed in several bands and eventually made the decision that he wanted to pursue a career in music. He attended the 	yes
University of Toronto	Henry Farrell	Henry Farrell is an Irish-born political scientist at George Washington University. He previously taught at the University of Toronto and earned his PhD from Georgetown University. His research interests include, trust and co-operation; E-commerce; the European Union; and institutional theory.	 is an Irish-born political scientist at George Washington University. He previously taught at the 	no
